Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2015-07-01,00:00:00,7798,5408,16992.0000,1588,15132.0000,1391,0.1940,0.2036,0.2524,0.2572,0.0128,0.0092,22093.0000,2041,18976.0000,1737,0.2522,0.2617,0.3165,0.3212,0.0254,0.0167
2015-07-02,00:00:00,8058,5986,16595.0000,1562,16569.0000,1488,0.1832,0.1938,0.2478,0.2486,0.0132,0.0100,22600.0000,2102,21059.0000,1899,0.2495,0.2609,0.3150,0.3172,0.0264,0.0185
2015-07-03,00:00:00,5111,3610,8786.0000,844,7165.0000,668,0.1543,0.1651,0.1802,0.1850,0.0097,0.0074,11744.0000,1118,10067.0000,929,0.2062,0.2187,0.2531,0.2573,0.0168,0.0113
2015-07-04,00:00:00,3435,1726,3474.0000,343,2082.0000,196,0.0905,0.0999,0.1117,0.1136,0.0078,0.0055,5473.0000,533,3215.0000,308,0.1425,0.1552,0.1725,0.1784,0.0119,0.0070
2015-07-05,00:00:00,10525,4254,24374.0000,2279,10167.0000,964,0.2059,0.2165,0.2191,0.2266,0.0174,0.0076,32084.0000,2979,13286.0000,1244,0.2711,0.2830,0.2863,0.2924,0.0385,0.0124
2015-07-06,00:00:00,12072,4049,30417.0000,2789,9006.0000,842,0.2216,0.2310,0.2044,0.2080,0.0184,0.0073,38628.0000,3524,12104.0000,1127,0.2814,0.2919,0.2748,0.2783,0.0438,0.0118
2015-07-07,00:00:00,9813,3847,23625.0000,2208,8644.0000,812,0.2134,0.2250,0.2059,0.2111,0.0151,0.0072,30031.0000,2763,11702.0000,1087,0.2712,0.2816,0.2787,0.2826,0.0330,0.0113
2015-07-08,00:00:00,8866,4021,21073.0000,1966,9383.0000,852,0.2102,0.2217,0.2098,0.2119,0.0137,0.0074,27171.0000,2511,12488.0000,1126,0.2711,0.2832,0.2793,0.2800,0.0289,0.0124
2015-07-09,00:00:00,8568,5098,19768.0000,1862,14004.0000,1275,0.2069,0.2173,0.2486,0.2501,0.0132,0.0088,25570.0000,2376,17723.0000,1601,0.2676,0.2773,0.3147,0.3140,0.0273,0.0153
2015-07-10,00:00:00,9350,5335,20040.0000,1910,14469.0000,1318,0.1919,0.2043,0.2461,0.2470,0.0143,0.0087,26405.0000,2482,18051.0000,1644,0.2528,0.2655,0.3070,0.3082,0.0307,0.0155
